1: Goal reached in 307 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.60 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 415 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 389 iterations (0.83 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 422 iterations (0.90 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 398 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 412 iterations (0.87 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 352 iterations (0.72 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 343 iterations (0.69 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 345 iterations (0.69 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 354 iterations (0.71 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 362 iterations (0.75 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 351 iterations (0.70 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 360 iterations (0.72 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 364 iterations (0.72 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 351 iterations (0.70 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 339 iterations (0.67 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 325 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 321 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 317 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 314 iterations (0.63 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 311 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 308 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 306 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.7000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 341 iterations (0.68 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 350 iterations (0.70 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 357 iterations (0.71 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 355 iterations (0.71 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 357 iterations (0.72 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 345 iterations (0.68 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 348 iterations (0.69 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 325 iterations (0.65 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 321 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 324 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 330 iterations (0.66 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 338 iterations (0.68 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 343 iterations (0.68 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 335 iterations (0.67 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 334 iterations (0.66 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 325 iterations (0.65 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 319 iterations (0.64 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 315 iterations (0.63 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 311 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 309 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.4500, 0.0500])
